=== TOTAL: 255 cols x 138 rows ===
=== USED COLUMNS: 131 ===
=== USED COL INDICES: 0,2,3,6,7,9,11,12,15,17,18,20,21,22,23,24,27,28,30,35,37,38,42,44,46,47,50,52,53,55,56,57,58,59,62,63,65,70,72,73,76,78,79,80,82,85,87,88,90,91,92,94,95,96,97,105,107,111,112,113,115,117,120,122,123,125,127,129,130,131,132,140,142,143,146,147,148,150,152,155,156,157,158,159,160,162,164,165,166,167,175,177,180,182,185,187,188,189,190,192,193,195,196,199,200,201,202,205,206,208,211,213,216,218,219,220,223,226,227,230,231,233,237,239,242,244,247,249,250,251,254 ===

R0: 견적번호 : |  | 2-32 |  |  |  |  |  |  |  |  | 상호 |  |  | ㈜ 네 오 판 넬 |  |  |  |  | 견적번호 : |  | 2-32 | 0 |  |  |  |  |  |  | 상호 |  |  | ㈜ 네 오 판 넬 |  |  |  |  |  | ㈜ 네 오 판 넬 |  |  |  |  |  | 물량산출내역 |  |  |  |  |  |  |  | 수주처 |  |  | 상호 | ㈜ 네 오 판 넬 |  |  |  |  | 출  고  증 |  |  |  |  |  |  | 견적번호 |  | 2-32 | 상호 | ㈜ 네 오 판 넬 |  |  |  |  |  | 시험성적서 요청 |  |  |  |  |  |  |  |  | 수주처 |  | 0 | 자  재  발  주  서 |  |  |  |  |  |  |  |  | 발주처 |  |  | ㈜ 네 오 판 넬 |  |  |  |  |  | 자  재  발  주  서 |  |  |  |  |  |  |  | 발주처 |  | ㈜ 네 오 판 넬 |  |  |  | 자  재  발  주  서 |  |  |  |  |  |  |  | 발주처
R1: 고객명 : |  | 유창건설 |  |  |  |  |  |  |  |  | 담당자 |  |  | 정학록 (010-4775-6318) |  |  |  |  | 고객명 : |  | 유창건설 |  |  |  |  |  |  |  | 담당자 |  |  | 정학록 (010-4775-6318) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 견적번호 |  | 2-32 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R2: 생산일 : |  |  |  | 견  적  서 |  |  |  |  |  |  | 사무실 |  |  | (041) 548 - 0484 |  | 팩스 |  | (041) 548 - 0485 | 생산일 : |  | 1월 0일 토요일 | 견   적   서 |  |  |  |  |  |  | 사무실 |  |  | (041) 548 - 0484 |  | 팩스 |  | (041) 548 - 0485 | 사무실 | (041) 548 - 0484 |  | 팩스 | (041) 548 - 0485 |  |  |  |  |  |  |  |  |  |  | 수주번호 |  |  | 사무실 | (041) 548 - 0484 | 팩스 |  | (041) 548 - 0485 |  |  |  |  |  |  |  |  | 수주번호 |  | 토요일, 1월 00, 1900 | 사무실 | (041) 548 - 0484 |  | 팩스 |  | (041) 548 - 0485 |  |  |  |  |  |  |  |  |  |  | 수주번호 |  | 토요일, 1월 00, 1900 |  |  |  |  |  |  |  |  |  | 수주처 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 수주처 |  |  |  |  |  |  |  |  |  |  |  |  |  | 수주처
R3: 출고일정 : |  |  |  |  |  |  |  |  |  |  | 이메일 |  |  | neo-panel@naver.com |  |  |  |  | 출고일정 : |  | 1월 0일 토요일 |  |  |  |  |  |  |  | 이메일 |  |  | neo-panel@naver.com |  |  |  |  | 이메일 | neo-panel@naver.com |  |  |  |  |  |  |  |  |  |  |  |  |  | 생산일 |  | 토요일, 1월 00, 1900 | 이메일 | neo-panel@naver.com |  |  |  |  |  |  |  |  |  |  |  | 생산일 |  | 토요일, 1월 00, 1900 | 이메일 | neo-panel@naver.com |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 생산일 |  | 토요일, 1월 00, 1900 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R4: 연락처 : |  |  |  |  |  |  |  |  |  |  | 오시는길 |  |  | 충남 아산시 배방읍 북수리 1172 |  |  |  |  | 연락처 : |  | 010-6748-0482 |  |  |  |  |  |  |  | 오시는길 |  |  | 충남 아산시 배방읍 북수리 1172 |  |  |  |  | 주소 | 충남 아산시 배방읍 북수리 1172 |  |  |  |  |  | <가 동> |  |  |  |  |  |  |  | 현장 |  | 포천 (가동) | 주소 | 충남 아산시 배방읍 북수리 1172 |  |  |  |  |  |  |  |  |  |  |  | 현장 |  | 포천 (가동) | 주소 | 충남 아산시 배방읍 북수리 1172 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 현장 |  | 포천 (가동) |  |  |  |  |  |  |  |  |  | 담당자 |  |  | 정학록 (010-4775-6318) |  |  |  |  |  |  |  |  |  |  |  |  |  | 담당자 |  | 정학록 (010-4775-6318) |  |  |  |  |  |  |  |  |  |  |  | 담당자
R5: 현장주소 : |  | 포천 (가동) |  |  |  |  |  |  |  |  | 사업자번호 |  |  | 271 - 88 - 01875 |  |  |  |  | 현장주소 : |  | 포천 (가동) |  |  |  |  |  |  |  | 사업자번호 |  |  | 271 - 88 - 01875 |  |  |  |  | 사업자 | 271 - 88 - 01875 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 사업자 | 271 - 88 - 01875 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 사업자 | 271 - 88 - 01875 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Tel |  |  | (041) 548 - 0484 |  |  |  |  |  |  |  |  |  |  |  |  |  | Tel |  | (041) 548 - 0484 |  |  |  |  |  |  |  |  |  |  |  | Tel
R6:  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | No. | 제  품  명 |  |  |  |  |  | 규 격 (mm) |  | 수량(EA) |  | 단 위 (m) |  |  | 비   고 |  |  |  | No. | 제  품  명 |  |  |  |  | 규 격 (mm) |  | 수량(EA) |  | 단 위 (m) |  | 비   고 |  |  |  | No. | 제  품  명 |  |  |  |  |  | 규 격 (mm) |  |  | 수량(EA) |  |  | 단 위 (m) |  | 비   고 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R7: No. | 제  품  명 |  |  |  |  |  | 규격(mm) |  | 수량(EA) |  | 단위(m) |  |  |  | 단가(원) |  | 금액(원) |  | No. | 제  품  명 |  |  |  |  | 규격(mm) |  | 수량(EA) |  | 단위(m) |  |  |  | 단가(원) |  | 금액(원) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | No. | 제  품  명 |  |  |  | 규격(mm) |  |  |  | 수량 |  |  |  | 비    고 |  |  |  |  | No. | 제  품  명 |  |  |  | 규격(mm) |  |  | 수량(EA) |  |  | 비    고 |  |  | No. | 제  품  명 |  |  |  | 규격(mm) |  |  | 수량(EA)
R8: 1 | 260T 지붕 |  |  |  |  |  | 10,300 |  | 84 |  | 865.2 |  |  |  | 37,800 |  | 32,704,560 |  | 1 | 260T 지붕 |  |  |  |  | 10,300 |  | 84 |  | 865.2 |  |  |  | 39,800 |  | 34,434,960 |  | 1 | 260T 지붕 |  |  |  |  |  | 10,300 |  | 84 |  | 865.2 |  |  |  |  |  |  | 1 | 260T 지붕 |  |  |  |  | 10,300 |  | 84 |  | 865.2 |  |  |  |  |  | 1 | 260T 지붕 |  |  |  |  |  | 10,300 |  |  | 84 |  |  | 865.2 |  |  |  |  |  | 1 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 1 |  |  |  |  |  |  |  |  | . |  |  |  |  | 1 |  |  |  |  |  |  |  | 
R9: 2 | 진회색 + 아이보리 |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  |  | 2 | 진회색 + 아이보리 |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  |  | 2 | 진회색 + 아이보리 |  |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  | 2 | 진회색 + 아이보리 |  |  |  |  | - |  | 0 |  | . |  |  |  |  |  | 2 | 진회색 + 아이보리 |  |  |  |  |  | - |  |  | - |  |  | . |  |  |  |  |  | 2 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 2 |  |  |  |  |  |  |  |  | . |  |  |  |  | 2 |  |  |  |  |  |  |  | 
R10: 3 | 양면 0.5T |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  |  | 3 | 양면 0.5T |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  |  | 3 | 양면 0.5T |  |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  | 3 | 양면 0.5T |  |  |  |  | - |  | 0 |  | . |  |  |  |  |  | 3 | 양면 0.5T |  |  |  |  |  | - |  |  | - |  |  | . |  |  |  |  |  | 3 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 3 |  |  |  |  |  |  |  |  | . |  |  |  |  | 3 |  |  |  |  |  |  |  | 
R11: 4 | 준불연 인정제품 |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  |  | 4 | 준불연 인정제품 |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  |  | 4 | 준불연 인정제품 |  |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  | 4 | 준불연 인정제품 |  |  |  |  | - |  | 0 |  | . |  |  |  |  |  | 4 | 준불연 인정제품 |  |  |  |  |  | - |  |  | - |  |  | . |  |  |  |  |  | 4 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 4 |  |  |  |  |  |  |  |  | . |  |  |  |  | 4 |  |  |  |  |  |  |  | 
R12: 5 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  |  | 5 | 0 |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  |  | 5 | 0 |  |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  | 5 | 0 |  |  |  |  | - |  | 0 |  | . |  |  |  |  |  | 5 | 0 |  |  |  |  |  | - |  |  | - |  |  | . |  |  |  |  |  | 5 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 5 |  |  |  |  |  |  |  |  | . |  |  |  |  | 5 |  |  |  |  |  |  |  | 
R13: 6 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  |  | 6 | 0 |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  |  | 6 | 0 |  |  |  |  |  | - |  | - |  | . |  |  |  |  |  |  | 6 | 0 |  |  |  |  | - |  | 0 |  | . |  |  |  |  |  | 6 | 0 |  |  |  |  |  | - |  |  | - |  |  | . |  |  |  |  |  | 6 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 6 |  |  |  |  |  |  |  |  | . |  |  |  |  | 6 |  |  |  |  |  |  |  | 
R14: 7 | 225T 500골 |  |  |  |  |  | 41,250 |  | 14 |  | 577.5 |  |  |  |  |  |  |  | 7 | 225T 500골 |  |  |  |  | 41,250 |  | 14 |  | 577.5 |  |  |  |  |  |  |  | 7 | 225T 500골 |  |  |  |  |  | 41,250 |  | 14 |  | 577.5 |  |  |  |  |  |  | 7 | 225T 500골 |  |  |  |  | 41,250 |  | 14 |  | 577.5 |  |  |  |  |  | 7 | 225T 500골 |  |  |  |  |  | 41,250 |  |  | 14 |  |  | 577.5 |  |  |  |  |  | 7 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 7 |  |  |  |  |  |  |  |  | . |  |  |  |  | 7 |  |  |  |  |  |  |  | 
R15: 8 | 진회색 + 아이보리 |  |  |  |  |  | 20,000 |  | 16 |  | 320. |  |  |  |  |  |  |  | 8 | 진회색 + 아이보리 |  |  |  |  | 20,000 |  | 16 |  | 320. |  |  |  |  |  |  |  | 8 | 진회색 + 아이보리 |  |  |  |  |  | 20,000 |  | 16 |  | 320. |  |  |  |  |  |  | 8 | 진회색 + 아이보리 |  |  |  |  | 20,000 |  | 16 |  | 320. |  |  |  |  |  | 8 | 진회색 + 아이보리 |  |  |  |  |  | 20,000 |  |  | 16 |  |  | 320. |  |  |  |  |  | 8 |  |  |  |  |  |  |  |  |  |  | . |  |  |  |  |  |  | 8 |  |  |  |  |  |  |  |  | . |  |  |  |  | 8 |  |  |  |  |  |  |  | 
